U3 load,U3 GHR,U3 NHR,U4 load,U4 GHR,U4 NHR,APC
147.5,2393.17,2696.53,147.5,2418.60,2725.18,11.25
152.5,2377.75,2665.64,152.5,2410.62,2702.49,10.80
157.5,2347.21,2617.03,157.5,2403.90,2680.23,10.31
162.5,2345.52,2615.15,162.5,2397.67,2673.29,10.31
167.5,2324.90,2592.15,167.5,2341.24,2610.37,10.31
172.5,2321.00,2587.81,172.5,2359.76,2631.02,10.31
177.5,2333.93,2602.22,177.5,2346.87,2616.65,10.31
182.5,2321.81,2588.70,182.5,2353.33,2623.85,10.31
187.5,2328.23,2595.86,187.5,2350.48,2620.67,10.31
192.5,2327.12,2588.56,192.5,2343.51,2606.80,10.10
197.5,2318.03,2568.45,197.5,2337.94,2590.52,9.75
202.5,2321.28,2564.67,202.5,2330.03,2574.33,9.49
207.5,2314.40,2557.07,207.5,2379.66,2629.17,9.49
212.5,2310.20,2550.45,212.5,2330.36,2572.71,9.42
217.5,2310.48,2547.10,217.5,2334.11,2573.16,9.29
222.5,2307.24,2541.30,222.5,2321.86,2557.40,9.21
227.5,2303.43,2536.54,227.5,2326.86,2562.34,9.19
232.5,2299.26,2531.67,232.5,2313.91,2547.80,9.18
237.5,2294.72,2526.67,237.5,2314.50,2548.45,9.18
242.5,2291.18,2521.38,242.5,2303.41,2534.84,9.13
247.5,2285.83,2513.01,247.5,2304.55,2533.59,9.04
252.5,2289.52,2512.92,252.5,2335.85,2563.77,8.89
257.5,2294.54,2518.15,257.5,2297.62,2521.53,8.88
262.5,2296.64,2515.49,262.5,2301.53,2520.84,8.70
267.5,2292.31,2509.10,267.5,2298.90,2516.31,8.64
272.5,2290.45,2506.24,272.5,2298.60,2515.15,8.61
277.5,2301.76,2518.07,277.5,2272.48,2486.03,8.59
282.5,2321.81,2539.16,282.5,2272.46,2485.19,8.56
287.5,2289.40,2502.08,287.5,2263.54,2473.81,8.50
292.5,2271.79,2480.93,292.5,2259.39,2467.39,8.43
297.5,2267.70,2473.76,297.5,2248.31,2452.61,8.33
302.5,2258.33,2461.40,302.5,2247.05,2449.10,8.25
307.5,2256.41,2457.16,307.5,2247.57,2447.53,8.17
312.5,2254.01,2452.68,312.5,2246.65,2444.67,8.10
317.5,2252.03,2449.99,317.5,2245.98,2443.41,8.08